Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
2.016858200004208,1407573149337146.5,365512295924848.0,6294767730370673.0,653.3710388183594,1588.155078280709
2.017853199999081,1407573149337146.5,365512295924848.0,6294767730370673.0,653.3710388183594,1588.155078280709
2.01884820000123,1388762895844991.8,360250111268294.06,6225463747328001.0,652.6733154296875,1587.7663246955171
2.0198442000037176,1392019541116400.0,361160790102714.94,6237470118541992.0,652.7966979980469,1587.8335930104554
2.0208391999985906,1401950741115778.0,363938898089758.1,6274063564934437.0,653.1661437988281,1588.0388271383356
2.0218352000010786,1412123741323178.5,366786055161818.7,6311518687937979.0,653.534765625,1588.2491978193598
2.022830200003227,1421362055211213.2,369372741943427.3,6345508986484777.0,653.8617004394531,1588.4403490168725
2.0238251999981003,1403069739903904.8,364252009369725.0,6278184914007983.0,653.2071594238281,1588.0619606532632
2.0248212000005883,1430778373251002.5,372010277477549.25,6380133036285117.0,654.1879333496094,1588.635279300236
2.025816200002737,1447671664522728.0,376744438380506.4,6442201385594594.0,654.7572387695313,1588.9852065676214
2.0268122000052244,1445226759134992.0,376059108765542.5,6433222097929225.0,654.6760314941406,1588.9345472531663
2.0278072000000975,1445226759134992.0,376059108765542.5,6433222097929225.0,654.6760314941406,1588.9345472531663
2.0288022000022465,1450127188357163.5,377432799918348.9,6451218488753312.0,654.8384155273437,1589.036090864397
2.029798200004734,1465067665137669.2,381622230867981.94,6506058092636716.0,655.3244689941406,1589.345793371372
2.030793199999607,1447671664522728.0,376744438380506.4,6442201385594594.0,654.7572387695313,1588.9852065676214
2.0317892000020947,1451357401313999.8,377777688365348.75,6455735601937734.0,654.8789428710937,1589.0615856357654
2.032784200004244,1466328702843459.2,381975921570486.94,6510684944718480.0,655.3649047851562,1589.3719409374944
2.0337801999994554,1490736836556261.0,388824196008452.94,6600188860125235.0,656.131201171875,1589.8782410436593
2.0347752000016044,1489432004268095.2,388457986386913.0,6595406435685276.0,656.0909790039062,1589.8511659808976
2.035770200003754,1497298433475850.0,390665923619479.9,6624234398648474.0,656.3322814941406,1590.0144067458848
2.036766199998965,1489432004268095.2,388457986386913.0,6595406435685276.0,656.0909790039062,1589.8511659808976
2.037761200001114,1468857092843950.0,382685112355403.7,6519960992149411.0,655.4457153320313,1589.4243702596004
2.0387572000036016,1485529084484749.8,387362676599215.8,6581100066562925.0,655.9701904296875,1589.7701865837273
2.039752199998475,1462551963735309.5,380916675769731.75,6496826945202044.0,655.2435363769531,1589.293633702553
2.0407472000006237,1465067665137669.2,381622230867981.94,6506058092636716.0,655.3244689941406,1589.345793371372
2.0417432000031113,1465067665137669.2,381622230867981.94,6506058092636716.0,655.3244689941406,1589.345793371372
2.0427382000052603,1466328702843459.2,381975921570486.94,6510684944718480.0,655.3649047851562,1589.3719409374944
2.043734200000472,1477785118785401.0,385189740470898.25,6552707171852085.0,655.7283386230469,1589.6095373614662
2.044729200002621,1470125380409975.8,383040874688548.9,6524613620178372.0,655.4861206054686,1589.4506713947353
2.04572420000477,1475223700586833.8,384471109831799.4,6543313753082438.0,655.6476806640625,1589.5564084319635
2.0467201999999816,1431967986698473.5,372343559667192.75,6384505836298402.0,654.2286743164062,1588.6599122852663
2.0477152000021306,1471397347082519.0,383397681638388.75,6529279472446849.0,655.5265563964844,1589.4770498874263
2.048711200004618,1473944590812552.5,384112261654371.75,6538622509198786.0,655.607275390625,1589.5298786689107
2.049706199999491,1482937879573177.2,386635543459076.06,6571600576429489.0,655.8895935058594,1589.716427919985
2.05070120000164,1444008197893166.2,375717555679794.3,6428746300864713.0,654.6354125976562,1588.9093001091378
2.051697200004128,1451357401313999.8,377777688365348.75,6455735601937734.0,654.8789428710937,1589.0615856357654
2.052692199999001,1423699960315260.0,370027503566438.25,6354107456392659.0,653.9433349609375,1588.4887380969553
2.0536882000014884,1441578908854549.8,375036687345147.94,6419822582130846.0,654.5541442871094,1588.8589719341537
2.0546832000036375,1456307625933290.8,379165612563108.9,6473909003511353.0,655.0410827636719,1589.1641854393417
2.0556781999985105,1451357401313999.8,377777688365348.75,6455735601937734.0,654.8789428710937,1589.0615856357654
2.056674200000998,1453828237395012.5,378470424577446.4,6464807179890154.0,654.96005859375,1589.1127945344865
2.057669200003147,1493354210861284.2,389558813737394.25,6609781206672136.0,656.2116455078125,1589.9325538861685
2.0586651999983587,1477785118785401.0,385189740470898.25,6552707171852085.0,655.7283386230469,1589.6095373614662
2.059660200000508,1514609292241044.0,395526097750664.3,6687642599711916.0,656.8537963867186,1590.3737406642583
2.060655200002657,1501260427062638.5,391778123430131.44,6638750473371833.0,656.4527648925781,1590.096636276704
2.0616512000051443,1510582210141790.0,394395296388739.44,6672895349640330.0,656.7335876464844,1590.2901354527953
2.0626462000000174,1488128764831461.5,388092235430571.9,6590629595156828.0,656.0507263183594,1589.8241248928193
2.063642200002505,1489432004268095.2,388457986386913.0,6595406435685276.0,656.0909790039062,1589.8511659808976
2.064637200004654,1506574064009365.2,393269908507569.3,6658215307982780.0,656.6132873535156,1590.2069304746897
2.065632199999527,1498615578076177.8,391035657594169.25,6629060440096273.0,656.372412109375,1590.0417426738031
2.066628200002014,1488128764831461.5,388092235430571.9,6590629595156828.0,656.0507263183594,1589.8241248928193
2.0676232000041637,1497298433475850.0,390665923619479.9,6624234398648474.0,656.3322814941406,1590.0144067458848
2.0686191999993753,1509243705916598.5,394019466848125.7,6667993248217471.0,656.6934875488281,1590.2623486835078
2.0696142000015243,1501260427062638.5,391778123430131.44,6638750473371833.0,656.4527648925781,1590.096636276704
2.070610200004012,1463807483322326.0,381268793074313.25,6501434104094986.0,655.2839721679686,1589.3196646505207
2.071605199998885,1492045234191491.0,389191417858008.25,6604984098455018.0,656.1714538574219,1589.9053910037348
2.072600200001034,1481646703235941.2,386273236773557.44,6566866668984331.0,655.8493103027344,1589.6896418602637
2.0735962000035215,1445226759134992.0,376059108765542.5,6433222097929225.0,654.6760314941406,1588.9345472531663
2.0745911999983946,1475223700586833.8,384471109831799.4,6543313753082438.0,655.6476806640625,1589.5564084319635
2.075587200000882,1524076683756658.0,398184902226814.56,6722304154538581.0,657.13388671875,1590.570317362556
2.076582200003031,1497298433475850.0,390665923619479.9,6624234398648474.0,656.3322814941406,1590.0144067458848
2.07757720000518,1471397347082519.0,383397681638388.75,6529279472446849.0,655.5265563964844,1589.4770498874263
2.078573200000392,1509243705916598.5,394019466848125.7,6667993248217471.0,656.6934875488281,1590.2623486835078
2.079568200002541,1520006386253170.2,397041745304703.06,6707403566989670.0,657.0138916015625,1590.4857990815028
2.0805642000050284,1520006386253170.2,397041745304703.06,6707403566989670.0,657.0138916015625,1590.4857990815028
2.0815591999999015,1524076683756658.0,398184902226814.56,6722304154538581.0,657.13388671875,1590.570317362556
2.0825542000020505,1522717202323046.2,397803076965409.25,6717327580350819.0,657.0938781738281,1590.5420874891115
2.083550200004538,1520006386253170.2,397041745304703.06,6707403566989670.0,657.0138916015625,1590.4857990815028
2.084545199999411,1533641973310322.0,400871702191951.56,6757312889729499.0,657.4134582519531,1590.7689619407251
2.0855412000018987,1533641973310322.0,400871702191951.56,6757312889729499.0,657.4134582519531,1590.7689619407251
2.0865362000040477,1548867230154763.0,405149308345047.56,6813014973572691.0,657.8518432617186,1591.0852134075587
2.087531199998921,1546082856210599.5,404366939844300.25,6802830200643282.0,657.7722534179686,1591.027372241132
2.0885272000014083,1557267748667787.5,407509954434976.6,6843737574452577.0,658.0904602050781,1591.2597353330802
2.0895222000035574,1574259281715445.2,412285751416589.4,6905857086395006.0,658.5665344238281,1591.6127943022634
2.090518199998769,1567148001174423.5,410286835914470.1,6879862430856639.0,658.3683227539062,1591.465023628872
2.091513200000918,1568567172337887.2,410685734573840.8,6885050485950059.0,658.4079956054686,1591.4945126931343
2.092508200003067,1553058192829031.0,406326977630818.75,6828343219094481.0,657.9711669921875,1591.1722786984355
2.093504199998278,1560080619128445.8,408300477580036.6,6854023208471760.0,658.1698669433594,1591.318177523458
2.0944992000004277,1520006386253170.2,397041745304703.06,6707403566989670.0,657.0138916015625,1590.4857990815028
2.0954952000029152,1507907654751838.2,393644336855581.3,6663099892155289.0,656.6533874511719,1590.2346136378223
