x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
0.4115700000000002,0.2632610069632811,74857126144.33003,49357233555.65935,4.839195681361766,2.218689481951759,-0.0083188829600023,0.0782433122772487,-0.5101795253784628,4.800094606453081,False
0.5247899999999994,0.2307365420039261,60371034268.317375,43593113470.010635,4.023253279178959,1.9952854167036904,-0.0061751571552244,0.0588901182792115,-1.790188248015041,4.128065545535649,False
0.67014,0.3298858412031172,74172333110.17401,40301503512.14939,3.690814857415868,1.6547408822276355,-0.007302727959969,0.0496390372388972,-2.355798820394329,3.2200169435834147,False
0.8200799999999999,0.224282751376339,55927581968.901535,36138818864.6103,4.701104808348411,2.4773800453178616,-0.0061343392578719,0.0447472102127767,1.965659354065032,5.350293082783024,False
0.9332999999999991,0.2698269532040971,50433136505.55838,30795419754.362007,11.540558102633849,4.501124467394579,-0.0084165330352836,0.0873722288855235,16.757568420865006,12.219261578454798,False
1.0862999999999996,0.346986121691701,49127165878.7152,31697641651.41307,3.389036130152336,1.2796691697299991,-0.0046594713393522,0.0326119218566567,-1.0209513021037355,2.740784277178761,False
1.2270599999999998,0.2041288768213851,20773697221.491684,2583142813.711782,7.804011468045554,1.5136509256683164,-0.0028790666094237,0.0056742265712431,-0.3446848805023709,1.670173316408546,False
1.3571099999999996,0.3508174499889597,41912813509.55179,23345235221.00231,3.9592825153134097,1.2919153897054554,-0.0042567020637586,0.0274393276007519,-0.0817266062725221,2.952431203328629,False
1.5146999999999995,0.2615983061012221,46106341933.58892,19612920808.906544,6.2317149533185425,1.834875810390466,-0.0057533059672345,0.0279041729410847,6.675220651727411,4.44885781171546,False
1.6279199999999987,0.2092226178571981,36415250641.24154,17754791981.355595,6.722761841350796,2.0415819560614556,-0.0047068341536234,0.0298010554372525,6.613972560119326,5.1164958374888725,False
1.7778600000000004,0.3812398060647725,36616021640.486946,17691540626.717064,4.474091360268555,1.7362233864510292,-0.0039275523292812,0.0190671809472865,2.6638891648240115,3.791637891908664,False
1.924739999999999,0.2035008191314544,40963587764.74457,17324829803.36942,4.3206545163078625,1.6808105101834707,-0.0043255858516271,0.0192459924621322,1.4148647418252305,3.7831477995205898,False
2.01654,0.3238449860485199,25317948383.420208,17208219456.702965,3.4762364839925444,1.380484413024028,-0.0024280552129879,0.0204690998259854,-2.3770383966671664,3.2947311957827723,False
2.20779,0.346548609721964,31482958845.7266,16831695691.450766,3.001906661406589,1.1995233882163228,-0.0028334905593556,0.0151206994996503,-1.5056656806108306,2.4079156269216786,False
2.3347800000000003,0.1431331047826047,26975048218.237587,14548712969.12275,4.198908904954518,1.3788443384374336,-0.00281225493559,0.0154374380453098,2.051966042333908,3.204794620510971,False
2.458709999999999,0.3892042700168049,29419661263.37868,13780309598.723454,6.509565898409301,2.2164087207775154,-0.0037460810940099,0.0214753637766535,6.534560233554663,5.466447991277095,False
2.6101799999999997,0.2423478962070526,19064836429.62629,14914550997.268867,4.290438569971608,1.6912139602364196,-0.0020068488611837,0.0200652446620467,-0.2221396076309385,4.466872545318836,False
2.7126900000000003,0.2284897097066391,25342414227.093243,16167449883.53624,2.808673755906406,1.531863724471235,-0.00221701638983,0.0138984606691888,-2.101255597620665,3.0381958031456526,False
2.8901699999999995,0.4746573857498782,21523524735.779247,13959851910.260986,3.2588689713246475,1.4633976552573436,-0.0020069471330095,0.0133007104453779,-0.9078668591080268,3.1619484395552964,False
3.0324599999999995,0.1896708274278359,19197574745.070644,13553201600.43514,4.0848499668098475,2.1335307622082036,-0.0019769827347494,0.0146366811965719,1.167457891753489,4.928706337153839,False
3.1518000000000006,0.2492910491234043,20063382130.61121,14287773477.280176,2.7940084015409217,1.351283030951986,-0.0017512995709863,0.0122693724897976,-1.8594662993881024,2.867702098292071,False
3.3170399999999995,0.4303376763976194,24523624578.148895,15054271671.325348,2.1303105885327116,1.1652660301611486,-0.0019128553099014,0.0089893387877821,-1.7791484535722146,2.1732833121630417,False
3.4746300000000003,0.2023514712844999,8600101783.597807,11544441579.882845,2.1574705755955423,1.5935890237356545,-0.0006742667883971,0.008661240008841,-3.302469539537296,3.944158672199338,False
3.5817299999999994,0.192526070714409,23404110764.00593,13797870066.203115,3.4068847792110826,2.178910764942622,-0.0022248533584264,0.0110369993767423,0.6714787805141833,4.728801318466046,False
3.740849999999999,0.4288845577883372,9045224768.222364,12583526444.967691,2.318218236409071,1.7433203826956811,-0.0007302988535125,0.0097132276816652,-2.808896117802132,4.424298056680057,False
3.896909999999999,0.2995260284438285,23661443049.82552,16753924638.083694,1.4372247165141516,0.9894571452158348,-0.0015838905711005,0.0081702649781111,-3.4565661033462405,1.6659478847794085,False
4.028489999999999,0.106933581722565,13568308229.74733,13550611202.089985,2.6702582857119515,2.116027601878195,-0.0011618952309534,0.0105271207670808,-1.5843833978846384,4.542853975474056,False
4.149359999999999,0.3220293646773634,19774115562.590324,12562787865.885908,2.7484828783173696,1.7692327292933083,-0.0017140808545666,0.007964926308935,0.1781475068398699,3.707024952520688,False
4.320719999999999,0.4689288836888092,12653562053.105646,11284387466.141493,3.480811681619766,2.0771135347268848,-0.0012142065208463,0.0090841410899528,1.711879872036675,4.8074964172530255,False
4.45995,0.2480330111044466,17091698439.1738,11375175253.064745,2.896363780435714,1.782996174975371,-0.0015149080284856,0.0049566708001643,3.415286139923118,3.67318038054867,False
4.586939999999999,0.1133832959297611,8059734766.172528,11234303187.190125,2.0968903416264855,1.7915889052429232,-0.0006246568413075,0.0050632964635445,0.3663232814894989,3.969195965963461,False
4.70475,0.3014854470846951,15912169665.250404,12966714105.6344,1.9548325279879988,2.1659900526159257,-0.0011990416820425,0.0040968533036743,0.9399562774557978,4.606233963027434,False
4.85775,0.4585503620709897,4243056207.885883,10208757865.36375,2.539207818518456,3.2219634050643524,-0.0003557565697645,0.0061890412893469,0.2678501552096491,9.063258843969829,False
5.01228,0.2894792095387321,7441296158.672292,9478206438.167814,3.221128416202262,2.7501791525604715,-0.0006903667455234,0.0064573659301358,2.0429503725309788,6.26682457714774,False
