#DataThief G:\Shared drives\ARPA-E Project\Literature\Film Thickness\Smausz2017.png Thursday 30-May-2024 1:51:57 PM
# Smausz, T., Kondász, B., Gera, T. et al. Determination of UV–visible–NIR absorption coefficient of graphite bulk using direct and indirect methods. Appl. Phys. A 123, 633 (2017). https://doi.org/10.1007/s00339-017-1249-y
Wavelength (nm),alpha (1/um)
730.0624, 4.5966
731.1968, 4.5966
732.3313, 4.5966
733.4657, 4.5965
734.6, 4.5579
735.7345, 4.5579
736.869, 4.5577
738.0034, 4.5577
739.1378, 4.5577
740.2723, 4.5577
741.4067, 4.5577
742.5411, 4.5577
743.6756, 4.5191
744.81, 4.5191
745.9444, 4.5191
747.0788, 4.5191
748.2133, 4.5191
749.3477, 4.5191
750.4821, 4.519
751.6166, 4.519
752.751, 4.519
753.8854, 4.519
755.0199, 4.519
756.1543, 4.519
757.2887, 4.4803
758.4231, 4.4803
759.5575, 4.4803
760.692, 4.4803
761.8264, 4.4803
762.9609, 4.4802
764.0953, 4.4802
765.2297, 4.4802
766.3642, 4.4802
767.4986, 4.4802
768.633, 4.4415
769.7673, 4.4415
770.9019, 4.4415
772.0363, 4.4415
773.1707, 4.4415
774.3052, 4.4415
775.4396, 4.4415
776.5739, 4.4414
777.7085, 4.4414
778.8429, 4.4414
779.9773, 4.4414
781.1117, 4.4027
782.2462, 4.4027
783.3806, 4.4027
784.515, 4.4027
785.6495, 4.4027
786.7839, 4.4027
787.9183, 4.4027
789.0528, 4.4027
790.1872, 4.4026
791.3216, 4.4026
792.456, 4.4026
793.5905, 4.4026
794.7248, 4.3639
795.8593, 4.3639
796.9938, 4.3639
798.1282, 4.3639
799.2626, 4.3639
800.3971, 4.3639
801.5314, 4.3639
802.6659, 4.3639
803.8003, 4.3638
804.9348, 4.3638
806.0692, 4.3638
807.2036, 4.3638
808.3381, 4.3638
809.4725, 4.3638
810.6069, 4.3251
811.7412, 4.3251
812.8758, 4.3251
814.0102, 4.3251
815.1446, 4.3251
816.2791, 4.3251
817.4135, 4.325
818.5479, 4.325
819.6824, 4.325
820.8168, 4.325
821.9512, 4.2863
823.0856, 4.2863
824.2201, 4.2863
825.3545, 4.2863
826.4889, 4.2863
827.6234, 4.2863
828.7578, 4.2863
829.8921, 4.2863
831.0267, 4.2862
832.1611, 4.2862
833.2955, 4.2862
834.4299, 4.2862
835.5644, 4.2862
836.6987, 4.2475
837.8332, 4.2475
838.9677, 4.2475
840.1021, 4.2475
841.2365, 4.2475
842.371, 4.2475
843.5053, 4.2475
844.6398, 4.2474
845.7742, 4.2474
846.9087, 4.2474
848.0431, 4.2474
849.1775, 4.2474
850.312, 4.2474
851.4464, 4.2086
852.5808, 4.2086
853.7153, 4.2086
854.8497, 4.2086
855.9841, 4.2086
857.1185, 4.2086
858.253, 4.2086
859.3874, 4.2086
860.5218, 4.2086
861.6562, 4.2086
862.7907, 4.2086
863.9251, 4.2086
865.0596, 4.2086
866.194, 4.1699
867.3284, 4.1699
868.4628, 4.1699
869.5973, 4.1699
870.7317, 4.1698
871.866, 4.1698
873.0006, 4.1698
874.135, 4.1698
875.2694, 4.1698
876.4039, 4.1698
877.5383, 4.1698
878.6726, 4.1698
879.8071, 4.1698
880.9416, 4.1698
882.076, 4.1697
883.2104, 4.1697
884.3449, 4.131
885.4793, 4.131
886.6137, 4.131
887.7482, 4.131
888.8826, 4.131
890.017, 4.131
891.1514, 4.131
892.2859, 4.131
893.4203, 4.131
894.5547, 4.1309
895.6892, 4.1309
896.8235, 4.0923
897.958, 4.0922
899.0925, 4.0922
900.2269, 4.0922
901.3613, 4.0922
902.4957, 4.0922
903.6301, 4.0922
904.7646, 4.0922
905.899, 4.0922
907.0335, 4.0922
908.1679, 4.0921
909.3023, 4.0921
910.4368, 4.0921
911.5712, 4.0921
912.7056, 4.0921
913.8399, 4.0921
914.9745, 4.0534
916.1089, 4.0534
917.2433, 4.0534
918.3778, 4.0534
919.5122, 4.0534
920.6465, 4.0534
921.7811, 4.0533
922.9155, 4.0533
924.0499, 4.0533
925.1843, 4.0533
926.3188, 4.0533
927.4532, 4.0533
928.5876, 4.0533
929.7221, 4.0533
930.8565, 4.0533
931.9909, 4.0532
933.1254, 4.0146
934.2598, 4.0146
935.3942, 4.0145
936.5286, 4.0145
937.6631, 4.0145
938.7974, 4.0145
939.9319, 4.0145
941.0664, 4.0145
942.2008, 4.0145
943.3352, 4.0145
944.4697, 4.0145
945.604, 4.0144
946.7385, 4.0144
947.8729, 4.0144
949.0074, 4.0144
950.1418, 3.9757
951.2762, 3.9757
952.4107, 3.9757
953.5451, 3.9757
954.6795, 3.9757
955.814, 3.9757
956.9484, 3.9757
958.0828, 3.9757
959.2172, 3.9756
960.3517, 3.9756
961.4861, 3.9756
962.6205, 3.9756
963.755, 3.9756
964.8894, 3.9756
966.0238, 3.9756
967.1583, 3.9756
968.2927, 3.9756
969.4271, 3.9369
970.5615, 3.9369
971.696, 3.9369
972.8304, 3.9367
973.9647, 3.9367
975.0993, 3.9367
976.2337, 3.9367
977.3681, 3.9367
978.5026, 3.9367
979.637, 3.9367
980.7713, 3.9367
981.9058, 3.9367
983.0403, 3.9367
984.1747, 3.9367
985.3091, 3.8981
986.4436, 3.898
