element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
C	2	"441.2745"	"0.0007"	"160"	"5.30e+07"	C+	"24.602961"	"27.412647"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T10528"	"L1176"
C	2	"441.4494"	"0.0007"	"29"	""		"24.602961"	"27.411529"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	"2s.2p.(3P*).4f"	"2F"	"5/2"		""	"L1176"
O	2	"441.6145"	"0.0010"	"27"	"8.47e+07"	B	"23.4415082"	"26.2490334"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"		"T6172,T6632"	"L10621,L3448"
O	2	"441.8214"	"0.0010"	"25"	"7.16e+07"	B	"23.4191946"	"26.2254001"	"2s2.2p2.(3P).3s"	"2P"	"1/2"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"		"T6172,T6632"	"L10621,L3448"
B	2	"443.27"	"0.05"	"14*"	""		"24.85612"	"27.65337"	"1s2.2p.3d"	"3D*"	"1"	"1s2.2p.4f"	"3F"	"2"		""	"L12120"
B	2	"443.27"	"0.05"	"14*"	""		"24.85659"	"27.65337"	"1s2.2p.3d"	"3D*"	"2"	"1s2.2p.4f"	"3F"	"3"		""	"L12120"
B	2	"443.27"	"0.05"	"14*"	""		"24.85725"	"27.65337"	"1s2.2p.3d"	"3D*"	"3"	"1s2.2p.4f"	"3F"	"4"		""	"L12120"
N	2	"443.398"	"0.010"	"285"	""		""	""	""	""	""	""	""	""		""	"L3513"
O	2	"443.6751"	"0.0010"	"7"	""		"28.955839"	"31.7503204"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	"2s2.2p2.(3P).4f F"	"2[2]*"	"3/2"		""	"L10621"
O	2	"444.4254"	"0.0010"	"15"	"5.05e+07"	D	"28.358142"	"31.147904"	"2s2.2p2.(1D).3p"	"2F*"	"5/2"	"2s2.2p2.(1D).3d"	"2F"	"5/2"		"T5723LS"	"L10621"
O	2	"444.4763"	"0.0010"	"8"	"1.89e+06"	D	"28.358142"	"31.147582"	"2s2.2p2.(1D).3p"	"2F*"	"5/2"	"2s2.2p2.(1D).3d"	"2F"	"7/2"		"T5723LS"	"L10621"
