Time (s),Pressure (Torr),Laser output power (W),Laser peak power (W)
18.39846158027649,0.0,0.0,0.0
18.414584636688232,0.0,0.0,0.0
18.431629180908203,0.0,0.0,0.0
18.448843240737915,0.0,0.0,0.0
18.46538543701172,0.0,0.0,0.0
18.482240676879883,0.0,0.0,0.0
18.51364254951477,0.0,0.0,0.0
18.532519578933716,0.0,0.0,0.0
18.552260160446167,0.0,0.0,0.0
18.56829285621643,0.0,0.0,0.0
18.58355951309204,0.0,0.0,0.0
18.613776206970215,0.0,0.0,0.0
18.644380569458008,0.0,0.0,0.0
18.676069498062134,0.0,0.0,0.0
18.70757007598877,0.0,0.0,0.0
18.73822855949402,0.0,0.0,0.0
18.767216444015503,0.0,0.0,0.0
18.79730725288391,0.0,0.0,0.0
18.827598571777344,0.0,0.0,0.0
18.85805058479309,0.0,0.0,0.0
18.889237642288208,0.0,0.0,0.0
18.920621633529663,0.0,0.0,0.0
18.954461812973022,0.0,0.0,0.0
18.980244636535645,0.0,0.0,0.0
19.011455059051514,0.0,0.0,0.0
19.04350709915161,0.0,0.0,0.0
19.07449984550476,0.0,0.0,0.0
19.103284120559692,0.0,0.0,0.0
19.13478183746338,0.0,0.0,0.0
19.163262605667114,0.0,0.0,0.0
19.193946361541748,0.0,0.0,0.0
19.226144075393677,0.0,0.0,0.0
19.25682234764099,0.0,0.0,0.0
19.287802934646606,0.0,0.0,0.0
19.318358182907104,0.0,0.0,0.0
19.3514986038208,0.0,0.0,0.0
19.38035273551941,0.0,0.0,0.0
19.413077354431152,0.0,0.0,0.0
19.443044185638428,0.0,0.0,0.0
19.475437879562378,0.0,0.0,0.0
19.504514932632446,0.0,0.0,0.0
19.536777019500732,0.0,0.0,0.0
19.56498432159424,0.0,0.0,0.0
19.596460103988647,0.0,0.0,0.0
19.627771377563477,0.0,0.0,0.0
19.658426523208618,0.0,0.0,0.0
19.687230587005615,0.0,0.0,0.0
19.71797513961792,0.0,0.0,0.0
19.75556254386902,0.0,0.0,0.0
19.79521369934082,0.0,0.0,0.0
19.82776403427124,0.0,0.0,0.0
19.858614683151245,0.0,0.0,0.0
19.88751769065857,0.0,0.0,0.0
19.91969585418701,0.0,0.0,0.0
19.963693380355835,0.0,0.0,0.0
20.000521421432495,0.0,0.0,0.0
20.030434608459473,0.0,0.0,0.0
20.06044316291809,0.0,0.0,0.0
20.090843439102173,0.0,0.0,0.0
20.120685815811157,0.0,0.0,0.0
20.16386914253235,0.0,0.0,0.0
20.198720693588257,0.0,0.0,0.0
20.228514671325684,0.0,0.0,0.0
20.260486841201782,0.0,0.0,0.0
20.292328119277954,0.0,0.0,0.0
20.321873426437378,0.0,0.0,0.0
20.352190494537354,0.0,0.0,0.0
20.38363218307495,0.0,0.0,0.0
20.41555094718933,0.0,0.0,0.0
20.445911645889282,0.0,0.0,0.0
20.47855305671692,0.0,0.0,0.0
20.508612394332886,0.0,0.0,0.0
20.539172410964966,0.0,0.0,0.0
20.58219265937805,0.0,0.0,0.0
20.61751651763916,0.0,0.0,0.0
20.648544549942017,0.0,0.0,0.0
20.67851185798645,0.0,0.0,0.0
20.709881067276,0.0,0.0,0.0
20.740643739700317,0.0,0.0,0.0
20.775431394577026,0.0,0.0,0.0
20.8144793510437,0.0,0.0,0.0
20.84693670272827,0.0,0.0,0.0
20.876206636428833,0.0,0.0,0.0
20.90672278404236,0.0,0.0,0.0
20.936347484588623,0.0,0.0,0.0
20.980888605117798,0.0,0.0,0.0
21.015658617019653,0.0,0.0,0.0
21.046217679977417,0.0,0.0,0.0
21.077008724212646,0.0,0.0,0.0
21.10710883140564,0.0,0.0,0.0
21.13908624649048,0.0,0.0,0.0
21.171764612197876,0.0,0.0,0.0
21.200366497039795,0.0,0.0,0.0
21.232431411743164,0.0,0.0,0.0
21.26304578781128,0.0,0.0,0.0
21.29550075531006,0.0,0.0,0.0
21.32654857635498,0.0,0.0,0.0
21.357136249542236,0.0,0.0,0.0
21.386574745178223,0.0,0.0,0.0
21.41755199432373,0.0,0.0,0.0
21.44709324836731,0.0,0.0,0.0
21.47802972793579,0.0,0.0,0.0
21.50938320159912,0.0,0.0,0.0
21.541167974472046,0.0,0.0,0.0
21.571879863739014,0.0,0.0,0.0
21.6030216217041,0.0,0.0,0.0
21.633870363235474,0.0,0.0,0.0
21.66411066055298,0.0,0.0,0.0
21.695815801620483,0.0,0.0,0.0
21.726503133773804,0.0,0.0,0.0
21.75780439376831,0.0,0.0,0.0
21.792374849319458,0.0,0.0,0.0
21.81835126876831,0.0,0.0,0.0
21.850717782974243,0.0,0.0,0.0
21.881715059280396,0.0,0.0,0.0
21.91142249107361,0.0,0.0,0.0
21.94256091117859,0.0,0.0,0.0
21.972530841827393,0.0,0.0,0.0
22.001596689224243,0.0,0.0,0.0
22.031987190246582,0.0,0.0,0.0
22.063605070114136,0.0,0.0,0.0
22.095223903656006,0.0,0.0,0.0
22.125885248184204,0.0,0.0,0.0
22.15691351890564,0.0,0.0,0.0
22.19764280319214,0.0,0.0,0.0
22.231298208236694,0.0,0.0,0.0
