# S/XB Table for B I 821.2 nm (2s2p² ²D → 4f ²F)
# Generated by standalone CR model
# WARNING: Uses simplified atomic physics - validate with ADAS
#
# Te range: 2.00 - 50.00 eV
# ne range: 1.00e+18 - 3.16e+19 m^-3
#
# Format: Te(eV)  ne(m^-3)  S/XB(ph/ion)
#============================================================
   8.136   1.00000e+18   1.61685e-03
   8.136   1.10692e+18   1.78916e-03
   8.136   1.22528e+18   1.97977e-03
   8.136   1.35629e+18   2.19060e-03
   8.136   1.50131e+18   2.42378e-03
   8.136   1.66184e+18   2.68166e-03
   8.136   1.83953e+18   2.96682e-03
   8.136   2.03621e+18   3.28212e-03
   8.136   2.25393e+18   3.63071e-03
   8.136   2.49493e+18   4.01604e-03
   8.136   2.76170e+18   4.44194e-03
   8.136   3.05699e+18   4.91258e-03
   8.136   3.38386e+18   5.43259e-03
   8.136   3.74567e+18   6.00702e-03
   8.136   4.14617e+18   6.64144e-03
   8.136   4.58949e+18   7.34195e-03
   8.136   5.08022e+18   8.11522e-03
   8.136   5.62341e+18   8.96856e-03
   8.136   6.22469e+18   9.90996e-03
   8.136   6.89025e+18   1.09481e-02
   8.136   7.62699e+18   1.20926e-02
   8.136   8.44249e+18   1.33537e-02
   8.136   9.34519e+18   1.47426e-02
   8.136   1.03444e+19   1.62715e-02
   8.136   1.14505e+19   1.79536e-02
   8.136   1.26748e+19   1.98029e-02
   8.136   1.40300e+19   2.18348e-02
   8.136   1.55302e+19   2.40654e-02
   8.136   1.71907e+19   2.65122e-02
   8.136   1.90288e+19   2.91936e-02
   8.136   2.10634e+19   3.21290e-02
   8.136   2.33156e+19   3.53391e-02
   8.136   2.58086e+19   3.88450e-02
   8.136   2.85682e+19   3.95507e-02
   8.136   3.16228e+19   3.95304e-02
   8.836   1.00000e+18   1.60320e-03
   8.836   1.10692e+18   1.77403e-03
   8.836   1.22528e+18   1.96300e-03
   8.836   1.35629e+18   2.17200e-03
   8.836   1.50131e+18   2.40316e-03
