Gray value,Temperature [K],Temperature error [K]
122,2752.0175456599122,8.314252403806382
123,2754.9799830056236,8.323202365575902
124,2757.942420351335,8.332152327345423
125,2760.8861578571837,8.341045794130464
126,2763.7873733067354,8.349810795488626
127,2766.688588756287,8.35857579684679
128,2769.5898042058393,8.367340798204953
129,2772.4399176750053,8.375951412915423
130,2775.2816161895234,8.384536604802186
131,2778.123314704042,8.393121796688948
132,2780.9453612889256,8.401647617187086
133,2783.7291902756747,8.41005797666367
134,2786.5130192624238,8.418468336140252
135,2789.296848249173,8.426878695616836
136,2792.0386146135543,8.435161977684453
137,2794.76616617996,8.44340231474308
138,2797.493717746365,8.451642651801706
139,2800.2168287217146,8.459869573177386
140,2802.88964182964,8.467944537249668
141,2805.5624549375657,8.47601950132195
142,2808.235268045491,8.484094465394232
143,2810.8899894093825,8.492114771629554
144,2813.5095519345623,8.500028857808346
145,2816.129114459742,8.507942943987137
146,2818.7486769849224,8.515857030165929
147,2821.3411773636954,8.523689357594245
148,2823.9089280649546,8.531446912582945
149,2826.476678766214,8.539204467571643
150,2829.044429467473,8.546962022560342
151,2831.5805234329455,8.554623937863884
152,2834.0978538355967,8.562229165666455
153,2836.6151842382483,8.569834393469028
154,2839.1325146409,8.577439621271601
155,2841.6176820688647,8.584947679966358
156,2844.0859382664357,8.592404647330621
157,2846.5541944640067,8.599861614694884
158,2849.0224506615777,8.607318582059147
159,2851.4618550005575,8.614688383687485
160,2853.8823393787784,8.62200102531353
161,2856.3028237569993,8.629313666939575
162,2858.72330813522,8.636626308565619
163,2861.1218136499638,8.643872548791432
164,2863.4957865367446,8.651044672316448
165,2865.869759423526,8.658216795841469
166,2868.243732310307,8.665388919366487
167,2870.60592036049,8.672525439155558
168,2872.934601605416,8.679560729925727
169,2875.263282850342,8.686596020695896
170,2877.591964095268,8.693631311466067
171,2879.9206453401935,8.700666602236234
172,2882.206718992769,8.707573169162444
173,2884.491289479455,8.71447519480198
174,2886.775859966141,8.721377220441514
175,2889.0604304528274,8.72827924608105
176,2891.319704638429,8.735104847850238
177,2893.561307732913,8.741877062637199
178,2895.802910827397,8.74864927742416
179,2898.0445139218814,8.755421492211122
180,2900.2807740084722,8.762177564980279
181,2902.4805169466454,8.768823314038203
182,2904.680259884819,8.77546906309613
183,2906.8800028229925,8.782114812154056
184,2909.0797457611657,8.788760561211982
185,2911.2557643688756,8.795334635555516
186,2913.4147195858072,8.801857158869508
187,2915.5736748027393,8.808379682183503
188,2917.732630019671,8.814902205497495
189,2919.891585236603,8.82142472881149
190,2922.012787679163,8.827833195405326
191,2924.131994083023,8.834235631670765
192,2926.251200486883,8.840638067936203
193,2928.370406890743,8.84704050420164
194,2930.4806624432877,8.853415898620204
195,2932.5611266364335,8.859701288931824
196,2934.64159082958,8.865986679243443
197,2936.722055022726,8.872272069555065
198,2938.8025192158725,8.878557459866684
199,2940.8669545785237,8.88479442470853
200,2942.9096520281932,8.890965716097261
201,2944.9523494778628,8.89713700748599
202,2946.9950469275323,8.90330829887472
203,2949.0377443772018,8.90947959026345
204,2951.0609659810993,8.915592042238972
205,2953.0668421420146,8.921652091063487
206,2955.0727183029303,8.927712139888007
207,2957.0785944638455,8.933772188712524
208,2959.0844706247613,8.939832237537043
209,2961.0708298029567,8.945833322667543
210,2963.0408011940453,8.951784897867206
211,2965.0107725851344,8.957736473066872
212,2966.9807439762235,8.963688048266537
213,2968.950715367312,8.9696396234662
214,2970.904321592259,8.97554175707631
215,2972.8392768295726,8.98138754329176
216,2974.7742320668867,8.98723332950721
217,2976.709187304201,8.993079115722661
218,2978.6441425415146,8.99892490193811
219,2980.5688759579516,9.004739806519492
220,2982.4696767457685,9.010482407086913
221,2984.370477533585,9.016225007654336
222,2986.271278321402,9.021967608221757
223,2988.172079109219,9.02771020878918
224,2990.071602401853,9.03344894985454
225,2991.9390844838445,9.039090889679288
226,2993.806566565836,9.044732829504037
227,2995.674048647828,9.050374769328785
228,2997.5415307298194,9.056016709153534
229,2999.409012811811,9.06165864897828
230,3001.2542744351267,9.067233457507935
231,3003.089248507386,9.072777185822918
232,3004.924222579645,9.078320914137901
233,3006.7591966519044,9.083864642452884
234,3008.594170724164,9.089408370767867
235,3010.421726103009,9.09492968611181
236,3012.2249786906355,9.100377579125787
237,3014.028231278262,9.105825472139765
238,3015.8314838658885,9.11127336515374
239,3017.634736453515,9.116721258167718
240,3019.4379890411415,9.122169151181696
241,3021.2199319592137,9.127552664529347
242,3022.9922262580803,9.132907027970031
243,3024.7645205569465,9.138261391410715
244,3026.536814855813,9.1436157548514
245,3028.3091091546794,9.148970118292082
246,3030.0800155248544,9.154320288594727
247,3031.822092210093,9.15958336015134
248,3033.5641688953315,9.16484643170795
249,3035.3062455805702,9.170109503264563
250,3037.0483222658086,9.175372574821173
251,3038.7903989510473,9.180635646377787
252,3040.523459196366,9.18587147793464
253,3042.2360371990394,9.19104542960435
254,3043.948615201713,9.196219381274057
255,3045.661193204387,9.201393332943768
