Wavelength (nm),Transmission (%)
1544,0.9124425054
1543,0.9044052958
1542,0.9043899179
1541,0.9009529948
1540,0.9071437716
1539,0.905510962
1538,0.9132719636
1537,0.8989373446
1536,0.8970025182
1535,0.8989744186
1534,0.9128300548
1533,0.9138304591
1532,0.9053115845
1531,0.9017656446
1530,0.9029982686
1529,0.906571269
1528,0.9043682218
1527,0.911177218
1526,0.9023103118
1525,0.9065365195
1524,0.9058536291
1523,0.9065428972
1522,0.9086282253
1521,0.902848959
1520,0.9045733213
1519,0.9004044533
1518,0.9109528065
1517,0.9018980265
1516,0.9025253057
1515,0.9035899043
1514,0.9028027058
1513,0.9028589129
1512,0.9108220339
1511,0.9086964726
1510,0.9041333795
1509,0.9019607902
1508,0.900611937
1507,0.9106534719
1506,0.9044556022
1505,0.9039820433
1504,0.8965462446
1503,0.9063544869
1502,0.903496623
1501,0.9030641913
1500,0.9040976167
1499,0.9011031985
1498,0.9036864042
1497,0.8946400285
1496,0.8952407241
1495,0.898634851
1494,0.9149664044
1493,0.9055736661
1492,0.9043492079
1491,0.9018565416
1490,0.8986831903
1489,0.903585732
1488,0.9058504105
1487,0.9071861506
1486,0.898407042
1485,0.9150139093
1484,0.8957998157
1483,0.9035748243
1482,0.8863652945
1481,0.8946900964
1480,0.8967343569
1479,0.9038372636
1478,0.9029072523
1477,0.896530807
1476,0.9012187123
1475,0.9079406857
1474,0.8988029361
1473,0.8981590867
1472,0.8955644369
1471,0.8965163231
1470,0.8995291591
1469,0.9004446864
1468,0.895963788
1467,0.90220505
1466,0.8996168375
1465,0.9172155261
1464,0.8953915834
1463,0.8917263746
1462,0.8922548294
1461,0.9096537828
1460,0.9039804339
1459,0.9007065296
1458,0.8960142732
1457,0.8925065398
1456,0.898221314
1455,0.9009367824
1454,0.8935989141
1453,0.8984171152
1452,0.8933995962
1451,0.8990748525
1450,0.8958277106
1449,0.8945698142
1448,0.9026827216
1447,0.8967503905
1446,0.8866665959
1445,0.8956390619
1444,0.895798862
1443,0.9011260271
1442,0.889955163
1441,0.8950020075
1440,0.896468401
1439,0.8946178555
1438,0.9034381509
1437,0.8940844536
1436,0.897834897
1435,0.8925280571
1434,0.9023661613
1433,0.8915058374
1432,0.8933870196
1431,0.898383677
1430,0.894972682
1429,0.8964633346
1428,0.8939282298
1427,0.8985310793
1426,0.8995689154
1425,0.8907305002
1424,0.8884535432
1423,0.8908358216
1422,0.8991155028
1421,0.8859629631
1420,0.8887568712
1419,0.8968209028
1418,0.8885484934
1417,0.8948390484
1416,0.8960541487
1415,0.8964298964
1414,0.9037874937
1413,0.8840087652
1412,0.8916909099
1411,0.8930034637
1410,0.8901609778
1409,0.8940826058
1408,0.893966496
1407,0.888500452
1406,0.8916020393
1405,0.8928118348
1404,0.8931876421
1403,0.8930264711
1402,0.8997759819
1401,0.8955955505
1400,0.8909037113
1399,0.8944631815
1398,0.8920881152
1397,0.8885424733
1396,0.8981667757
1395,0.8928273916
1394,0.8912312984
1393,0.8907040358
1392,0.8901670575
1391,0.8922274113
1390,0.8932638168
1389,0.8962161541
1388,0.8816736937
1387,0.887750566
1386,0.8986529708
1385,0.9005692005
1384,0.9027241468
1383,0.8901402354
1382,0.8845257759
1381,0.8897157311
1380,0.8802236319
1379,0.9066959023
1378,0.8933228254
1377,0.8846261501
1376,0.8918738961
1375,0.9013872743
1374,0.8934867382
1373,0.8903369308
1372,0.892545104
1371,0.8877210617
1370,0.8972221017
1369,0.8983891606
1368,0.9005095959
1367,0.8948546648
1366,0.8948407173
1365,0.8908653855
1364,0.8879055381
1363,0.8849900365
1362,0.8937810659
1361,0.8925182819
1360,0.8934037685
1359,0.896625042
1358,0.8914710283
1357,0.8908894062
1356,0.8918566704
1355,0.8946338892
1354,0.8878995776
1353,0.8938634992
1352,0.8821878433
1351,0.8896453381
1350,0.8862333298
1349,0.8966745138
1348,0.8846517801
1347,0.8879189491
1346,0.8912863135
1345,0.8926924467
1344,0.8907954097
1343,0.8845483661
1342,0.8944214582
1341,0.8858500719
1340,0.8867049813
1339,0.8870978951
1338,0.8923148513
1337,0.8824654818
1336,0.8778631687
1335,0.894547224
1334,0.8899130821
1333,0.8945237994
1332,0.8960745335
1331,0.8925842047
1330,0.8919067383
1329,0.8957272172
1328,0.8886890411
1327,0.8904670477
1326,0.8819960952
1325,0.8933262825
1324,0.8845547438
1323,0.8848014474
1322,0.8840359449
1321,0.8929270506
1320,0.8950534463
1319,0.8763201237
1318,0.886523068
1317,0.885882318
1316,0.8874756098
1315,0.895259738
1314,0.8931906819
1313,0.8877297044
1312,0.8778535724
1311,0.8877980709
1310,0.8925077319
1309,0.8877457976
1308,0.8903529644
1307,0.8820662498
1306,0.8776403069
1305,0.8848504424
1304,0.8919337988
1303,0.891369462
1302,0.8835401535
1301,0.8817967176
1300,0.8856143951
1299,0.892265439
1298,0.8860780597
1297,0.8888934851
1296,0.8852125406
1295,0.883392036
1294,0.890114069
1293,0.8838996291
1292,0.8777217865
1291,0.8928068876
1290,0.8976639509
1289,0.88837713
1288,0.8722609878
1287,0.8809396029
1286,0.8889461756
1285,0.8875561953
1284,0.8794429898
1283,0.8852991462
1282,0.8903672099
1281,0.8888317943
1280,0.8881391287
1279,0.8942140341
1278,0.8772011995
1277,0.8861564398
1276,0.885887146
1275,0.8866640925
1274,0.8887680173
1273,0.8854439259
1272,0.8904505372
1271,0.8714662194
1270,0.87829566
1269,0.8878393173
1268,0.8929467797
1267,0.8905006647
1266,0.877579093
1265,0.88070333
1264,0.8906983733
1263,0.8913682103
1262,0.8892779946
1261,0.8844048977
1260,0.8958889842
1259,0.8825232983
1258,0.8808939457
1257,0.8821755648
1256,0.8789721727
1255,0.8849573135
1254,0.8915526867
1253,0.8808487058
1252,0.8867154717
1251,0.8774785995
1250,0.8873412609
1249,0.8907538652
1248,0.8800048232
1247,0.8881592155
1246,0.8887093663
1245,0.890311718
1244,0.8810396194
1243,0.8858127594
1242,0.8773161769
1241,0.888225615
1240,0.8830094934
1239,0.8899310827
1238,0.8823311925
1237,0.8840677142
1236,0.8837916851
1235,0.8863575459
1234,0.8821255565
1233,0.8754255176
1232,0.8717036843
1231,0.8959053159
1230,0.8850397468
1229,0.8768494129
1228,0.8847299218
1227,0.8838580847
1226,0.8748287559
1225,0.8797882795
1224,0.8935087323
1223,0.8888475895
1222,0.8849150538
1221,0.8886062503
1220,0.8874619603
1219,0.881346941
1218,0.887499094
1217,0.8889748454
1216,0.8841613531
1215,0.8911972046
1214,0.8765431046
1213,0.8906980753
1212,0.8859195709
1211,0.8857080936
1210,0.8782814145
1209,0.8872027397
1208,0.8784248233
1207,0.8871772289
1206,0.8866825104
1205,0.8878674507
1204,0.8816970587
1203,0.882915616
1202,0.8881565332
1201,0.8843393326
1200,0.8805678487
1199,0.8831186891
1198,0.8911085129
1197,0.8789803982
1196,0.8827736378
1195,0.8827795386
1194,0.8834073544
1193,0.8898796439
1192,0.8799055815
1191,0.8844706416
1190,0.8749165535
1189,0.8850112557
1188,0.8871449232
1187,0.8907295465
1186,0.8939799666
1185,0.8806205988
1184,0.8801479936
1183,0.8783264756
1182,0.8873298764
1181,0.8882823586
1180,0.8790858984
1179,0.8822227716
1178,0.883918643
1177,0.8815998435
1176,0.8740363717
1175,0.887663126
1174,0.8904198408
1173,0.8847702146
1172,0.8885434866
1171,0.8939127326
1170,0.8815328479
1169,0.8839942217
1168,0.8895902634
1167,0.888512671
1166,0.8798078895
1165,0.8899469972
1164,0.8879446387
1163,0.8824802637
1162,0.8829413652
1161,0.8828393221
1160,0.8885105848
1159,0.8823928237
1158,0.8833332658
1157,0.8795325756
1156,0.888733685
1155,0.8882481456
1154,0.8802402616
1153,0.8845691681
1152,0.8900673389
1151,0.8834870458
1150,0.8826318383
1149,0.8816917539
1148,0.8832737803
1147,0.8846751451
1146,0.8902910352
1145,0.8839042783
1144,0.8846577406
1143,0.8820732236
1142,0.8873431087
1141,0.889524281
1140,0.8844385743
1139,0.8812136054
1138,0.8858879805
1137,0.8810244799
1136,0.8887045979
1135,0.8828459978
1134,0.8859503269
1133,0.8814591765
1132,0.8894196749
1131,0.8879505992
1130,0.8853219748
1129,0.8845393658
1128,0.8857523799
1127,0.8799205422
1126,0.8967306614
1125,0.8812043667
1124,0.8859698772
1123,0.8855303526
1122,0.8858470321
1121,0.8828678131
1120,0.8854745626
1119,0.896348536
1118,0.8957952261
1117,0.8861906528
1116,0.8744448423
1115,0.8829174638
1114,0.8807225823
1113,0.8818290234
1112,0.886508286
1111,0.8834365606
1110,0.8885995746
1109,0.8880881667
1108,0.8855512142
1107,0.8852402568
1106,0.8893629313
1105,0.8880369663
1104,0.8843186498
1103,0.8874371648
1102,0.8967319727
1101,0.8893682361
1100,0.8876091838
1099,0.8840840459
1098,0.8866253495
1097,0.8865328431
1096,0.8904703856
1095,0.8907046914
1094,0.882540822
1093,0.8853541017
1092,0.888467133
1091,0.885981977
1090,0.8864489198
1089,0.8856983185
1088,0.8778913617
1087,0.8883507848
1086,0.8915860057
1085,0.8814091086
1084,0.8792476058
1083,0.8868447542
1082,0.894094348
1081,0.8904932737
1080,0.885561645
1079,0.8870370388
1078,0.8884643912
1077,0.8827326894
1076,0.884534061
1075,0.8935011029
1074,0.8846806288
1073,0.8876252174
1072,0.8824496269
1071,0.8958108425
1070,0.8959777355
1069,0.8854981661
1068,0.8869427443
1067,0.8869462609
1066,0.8860351443
1065,0.8844240308
1064,0.89136976
1063,0.8929060698
1062,0.8919881582
1061,0.8843246102
1060,0.9020828009
1059,0.8879709244
1058,0.8809927702
1057,0.8850919008
1056,0.8874440789
1055,0.8877412677
1054,0.889936626
1053,0.8867714405
1052,0.8738033772
1051,0.8913925886
1050,0.8990764618
1049,0.8851352334
