Time (s),TC1 (C),TC2 (C)
45.425,407.75,18.0
45.485,407.75,18.0
45.545,407.5,18.0
45.605,407.5,18.0
45.665,407.75,18.0
45.725,407.75,18.0
45.785,407.75,18.0
45.845,407.5,18.0
45.905,407.5,18.0
45.965,407.75,18.0
46.025,407.5,18.0
46.085,407.5,18.0
46.145,407.75,18.0
46.205,407.75,18.0
46.265,407.75,18.0
46.325,407.75,18.0
46.385,407.75,18.0
46.445,407.75,18.0
46.505,407.75,18.0
46.565,407.75,18.0
46.625,407.75,18.0
46.685,407.75,18.0
46.745,407.75,18.0
46.805,407.75,18.0
46.865,407.5,18.0
46.925,407.5,18.0
46.985,407.5,18.0
47.045,407.5,18.0
47.105,407.75,18.0
47.165,407.5,18.0
47.225,407.75,18.0
47.285,407.75,18.0
47.345,407.75,18.0
47.405,407.75,18.0
47.465,407.5,18.0
47.525,407.75,18.0
47.585,407.75,18.0
47.645,407.75,18.0
47.705,407.5,18.0
47.765,407.5,18.0
47.825,407.75,18.0
47.885,407.5,18.0
47.945,407.5,18.0
48.005,407.5,18.0
48.065,407.5,18.0
48.125,407.5,18.0
48.185,407.5,18.0
48.245,407.5,18.0
48.305,407.5,18.0
48.365,407.5,18.0
48.425,407.5,18.0
48.485,407.5,18.0
48.545,407.5,18.0
48.605,407.5,18.0
48.665,407.5,18.0
48.725,407.5,18.0
48.785,407.5,18.0
48.845,407.5,18.0
48.905,407.5,18.0
48.965,407.5,18.0
49.025,407.5,18.0
49.085,407.5,18.0
49.145,407.5,18.0
49.205,407.5,18.0
49.265,407.5,18.0
49.325,407.5,18.0
49.385,407.5,18.0
49.445,407.75,18.0
49.505,407.75,18.0
49.565,407.5,18.0
49.625,407.5,18.0
49.685,407.5,18.0
49.745,407.5,18.0
49.805,407.5,18.0
49.865,407.5,18.0
49.925,407.75,18.0
49.985,407.5,18.0
50.045,407.5,18.0
50.105,407.5,18.0
50.165,407.5,18.0
50.225,407.5,18.0
50.285,407.5,18.0
50.345,407.5,18.0
50.405,407.5,18.0
50.465,407.75,18.0
50.525,407.75,18.0
50.585,407.5,18.0
50.645,407.5,18.0
50.705,407.5,18.0
50.765,407.5,18.0
50.825,407.5,18.0
50.885,407.75,18.0
50.945,407.5,18.0
51.005,407.75,18.0
51.065,407.75,18.0
51.125,407.5,18.0
51.185,407.5,18.0
51.245,407.75,18.0
51.305,407.5,18.0
51.365,407.5,18.0
51.425,407.75,18.0
51.485,407.5,18.0
51.545,407.5,18.0
51.605,407.5,18.0
51.665,407.5,18.0
51.725,407.5,18.0
51.785,407.75,18.0
51.845,407.75,18.0
51.905,407.75,18.0
51.965,407.75,18.0
52.025,407.5,18.0
52.085,407.5,18.0
52.145,407.75,18.0
52.205,407.75,18.0
52.265,407.75,18.0
52.325,407.75,18.0
52.385,407.75,18.0
52.445,407.75,18.0
52.505,407.75,18.0
52.565,407.75,18.0
52.625,407.75,18.0
52.685,407.75,18.0
52.745,407.75,18.0
52.805,407.75,18.0
52.865,407.75,18.0
52.925,407.75,18.0
52.985,407.5,18.0
53.045,407.75,18.0
53.105,407.75,18.0
53.165,407.75,18.0
53.225,407.75,18.0
53.285,407.75,18.0
53.345,407.75,18.0
53.405,407.75,18.0
53.465,407.75,18.0
53.525,407.75,18.0
53.585,407.5,18.0
53.645,407.75,18.0
53.705,407.75,18.0
53.765,407.75,18.0
53.825,407.75,18.0
53.885,407.75,18.0
53.945,407.75,18.0
54.005,407.5,18.0
54.065,407.75,18.0
54.125,407.75,18.0
54.185,407.75,18.0
54.245,407.75,18.0
54.305,407.75,18.0
54.365,407.75,18.0
54.425,407.75,18.0
54.485,407.75,18.0
54.545,407.75,18.0
54.605,407.75,18.0
54.665,407.75,18.0
54.725,407.75,18.0
54.785,407.75,18.0
54.845,407.75,18.0
54.905,407.75,18.0
54.965,407.75,18.0
55.025,407.75,18.0
55.085,407.75,18.0
55.145,408.0,18.0
55.205,407.75,18.0
55.265,407.75,18.0
55.325,407.75,18.0
55.385,407.75,18.0
55.445,407.75,18.0
55.505,407.75,18.0
55.565,407.75,18.0
55.625,407.75,18.0
55.685,407.75,18.0
55.745,407.75,18.0
55.805,407.75,18.0
55.865,408.0,18.0
55.925,407.75,18.0
55.985,407.75,18.0
56.045,408.0,18.0
56.105,407.75,18.0
56.165,407.75,18.0
56.225,408.0,18.0
56.285,408.0,18.0
56.345,408.0,18.0
56.405,408.0,18.0
56.465,408.0,18.0
56.525,408.0,18.0
56.585,408.0,18.0
56.645,408.0,18.0
56.705,407.75,18.0
56.765,407.75,18.0
56.825,408.0,18.0
56.885,408.0,18.0
56.945,408.0,18.0
57.005,408.0,18.0
57.065,408.0,18.0
57.125,407.75,18.0
57.185,408.0,18.0
57.245,408.0,18.0
57.305,408.0,18.0
57.365,407.75,18.0
57.425,408.0,18.0
57.485,408.0,18.0
57.545,408.0,18.0
57.605,407.75,18.0
57.665,407.75,18.0
57.725,408.0,18.0
57.785,408.0,18.0
57.845,408.0,18.0
57.905,408.0,18.0
57.965,407.75,18.0
58.025,408.0,18.0
58.085,408.0,18.0
58.145,408.0,18.0
58.205,408.0,18.0
58.265,408.0,18.0
58.325,408.0,18.0
58.385,408.0,18.0
58.445,408.0,18.0
58.505,408.0,18.0
58.565,408.0,18.0
58.625,407.75,18.0
58.685,408.0,18.0
58.745,408.0,18.0
58.805,408.0,18.0
58.865,408.0,18.0
58.925,407.75,18.0
58.985,408.0,18.0
59.045,408.0,18.0
59.105,408.0,18.0
59.165,408.0,18.0
59.225,408.0,18.0
59.285,408.0,18.0
59.345,408.0,18.0
59.405,408.0,18.0
59.465,408.0,18.0
59.525,408.0,18.0
59.585,408.0,18.0
59.645,408.0,18.0
59.705,408.0,18.0
59.765,408.0,18.0
59.825,408.0,18.0
59.885,407.75,18.0
59.945,408.0,18.0
60.005,408.0,18.0
60.065,408.0,18.0
60.125,408.0,18.0
60.185,408.0,18.0
60.245,408.0,18.0
60.305,407.75,18.0
60.365,407.75,18.0
60.425,407.75,18.0
60.485,408.0,18.0
60.545,408.0,18.0
60.605,408.0,18.0
60.665,408.0,18.0
60.725,408.0,18.0
60.785,408.0,18.0
60.845,407.75,18.0
60.905,407.75,18.0
60.965,407.75,18.0
61.025,408.0,18.0
61.085,408.0,18.0
61.145,408.0,18.0
61.205,408.0,18.0
61.265,408.0,18.0
61.325,407.75,18.0
61.385,408.0,18.0
61.445,408.0,18.0
61.505,408.0,18.0
61.565,408.0,18.0
61.625,408.0,18.0
61.685,408.0,18.0
61.745,408.0,18.0
61.805,408.0,18.0
61.865,408.0,18.0
61.925,408.0,18.0
61.985,408.0,18.0
62.045,408.0,18.0
62.105,408.0,18.0
62.165,407.75,18.0
62.225,407.75,18.0
62.285,407.75,18.0
62.345,408.0,18.0
62.405,408.0,18.0
62.465,408.0,18.0
62.525,408.0,18.0
62.585,408.0,18.0
62.645,408.0,18.0
62.705,408.0,18.0
62.765,407.75,18.0
62.825,407.75,18.0
62.885,408.0,18.0
62.945,408.0,18.0
63.005,407.75,18.0
63.065,408.0,18.0
63.125,408.0,18.0
63.185,407.75,18.0
63.245,408.0,18.0
63.305,408.0,18.0
63.365,408.0,18.0
63.425,407.75,18.0
63.485,407.75,18.0
63.545,408.0,18.0
63.605,407.75,18.0
63.665,408.0,18.0
63.725,408.0,18.0
63.785,408.0,18.0
63.845,408.0,18.0
63.905,408.0,18.0
63.965,407.75,18.0
64.025,408.0,18.0
64.085,408.0,18.0
64.145,408.0,18.0
64.205,408.0,18.0
64.265,408.0,18.0
64.325,408.0,18.0
64.385,408.0,18.0
64.445,408.0,18.0
64.505,407.75,18.0
64.565,407.75,18.0
64.625,408.0,18.0
64.685,408.0,18.0
64.745,408.0,18.0
64.805,408.0,18.0
64.865,408.0,18.0
64.925,407.75,18.0
64.985,407.75,18.0
65.045,407.75,18.0
65.105,408.0,18.0
65.165,407.75,18.0
65.225,408.0,18.0
65.285,408.0,18.0
65.345,408.0,18.0
65.405,407.75,18.0
65.465,408.0,18.0
65.525,408.0,18.0
65.585,407.75,18.0
65.645,407.75,18.0
65.705,408.0,18.0
65.765,408.0,18.0
65.825,408.0,18.0
65.885,407.75,18.0
65.945,407.75,18.0
66.005,407.75,18.0
66.065,407.75,18.0
66.125,407.75,18.0
66.185,408.0,18.0
66.245,408.0,18.0
66.305,407.75,18.0
66.365,407.75,18.0
66.425,407.75,18.0
66.485,407.75,18.0
66.545,407.75,18.0
66.605,407.75,18.0
66.665,408.0,18.0
66.725,407.75,18.0
66.785,407.75,18.0
66.845,407.75,18.0
66.905,407.75,18.0
66.965,407.75,18.0
67.025,407.75,18.0
67.085,408.0,18.0
67.145,408.0,18.0
67.205,408.0,18.0
67.265,407.75,18.0
67.325,407.75,18.0
67.385,408.0,18.0
67.445,408.0,18.0
67.505,408.0,18.0
67.565,408.0,18.0
67.625,408.0,18.0
