#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Bake Time: 60 min
#	Baking Position: 18 in
#	DC Voltage: 0
#	Voltage Mode: PID
#	Sample Length: 5 cm
#	Sample Name: R4N32_CYREZ
#	Ramping rate: 25 C/min
#	Temperature setpoint: 800 C
#	Stabilization Time: 5 min
#Data:
Time (s),Baking Pressure (Torr),Outgassing Pressure (Torr),Baking Temperature (C),Outgassing Temperature (C),Position (in),DC Voltage (V),Is Baking?
5838.185064077377,0.042,0.028999999999999998,798.75,210.0,8.6305905511811,42.27008478097995,0.0
5839.343782186508,0.042,0.028999999999999998,798.5,210.25,8.591496062992125,180.92871732746534,0.0
5840.368092060089,0.042,0.028999999999999998,799.25,210.75,8.565433070866142,59.59189102938656,0.0
5841.38126540184,0.042,0.028999999999999998,799.75,210.5,8.604527559055118,0,0.0
5842.400333881378,0.042,0.028999999999999998,799.5,210.25,8.604527559055118,134.51562945632782,0.0
5843.423899888992,0.042,0.028999999999999998,799.25,210.5,8.643622047244094,153.69951418892907,0.0
5844.529667854309,0.042,0.028999999999999998,799.25,212.0,8.643622047244094,68.42575103914845,0.0
5845.553798675537,0.042,0.028999999999999998,799.0,210.5,8.565433070866142,116.66986860906079,0.0
5846.5792808532715,0.042,0.028999999999999998,799.25,211.75,8.61755905511811,117.93556814784124,0.0
5848.174426794052,0.042,0.028999999999999998,798.75,211.5,8.6305905511811,185.06764151626683,0.0
5849.240097999573,0.042,0.028999999999999998,799.0,212.25,7.379566929133857,19.114823360250043,0.0
5850.547766685486,0.042,0.028999999999999998,798.75,212.25,8.61755905511811,73.98603999193459,0.0
5851.70139169693,0.042,0.028999999999999998,798.25,210.75,8.6305905511811,71.67799155207574,0.0
5853.268047571182,0.042,0.028999999999999998,798.5,210.75,8.396023622047244,127.1023075935263,0.0
5854.3580820560455,0.042,0.028999999999999998,798.75,210.25,8.656653543307085,94.48192979998849,0.0
5855.792392492294,0.042,0.028999999999999998,799.0,211.0,8.6305905511811,118.54602824686332,0.0
5856.99418759346,0.042,0.028999999999999998,798.75,211.25,8.604527559055118,94.78398876414924,0.0
5858.033096313477,0.042,0.028999999999999998,798.25,212.25,8.591496062992125,192.5816651137668,0.0
5859.037178516388,0.042,0.028999999999999998,798.5,212.0,8.578464566929133,27.23258544499359,0.0
5860.058969974518,0.042,0.028999999999999998,798.0,211.75,8.578464566929133,141.2854054807835,0.0
5861.1023209095,0.042,0.028999999999999998,798.0,211.25,8.44814960629921,133.30757781780983,0.0
5862.150640487671,0.042,0.028999999999999998,798.75,210.25,8.578464566929133,0,0.0
5863.4587523937225,0.042,0.028999999999999998,798.75,210.5,8.6305905511811,4.4002899835864895,0.0
5865.149273633957,0.042,0.028999999999999998,798.75,212.25,8.578464566929133,96.08698204690518,0.0
5866.236709594727,0.042,0.028999999999999998,798.25,212.0,8.565433070866142,171.64697248391775,0.0
5867.26021528244,0.042,0.028999999999999998,798.5,211.5,8.578464566929133,0,0.0
5868.700710058212,0.042,0.028999999999999998,797.75,210.0,8.643622047244094,99.74629754366,0.0
5869.895080327988,0.042,0.028999999999999998,798.0,211.25,8.61755905511811,64.99702062959338,0.0
5870.914265394211,0.042,0.028999999999999998,798.0,212.25,8.578464566929133,55.83902583781831,0.0
5871.971256971359,0.042,0.028999999999999998,797.75,211.25,8.61755905511811,137.28539091965612,0.0
5873.406974315643,0.042,0.028999999999999998,797.75,210.25,8.578464566929133,124.7902187437962,0.0
5874.991020441055,0.042,0.028999999999999998,797.5,212.25,8.591496062992125,14.709369491887614,0.0
5876.067952156067,0.042,0.028999999999999998,796.75,212.25,8.604527559055118,200.0,0.0
5877.359855890274,0.042,0.028999999999999998,797.75,210.5,8.604527559055118,101.88043078600077,0.0
5878.3962478637695,0.042,0.028999999999999998,798.0,210.25,8.61755905511811,0,0.0
5879.552523851395,0.042,0.028999999999999998,798.0,210.5,8.604527559055118,101.57486751601363,0.0
5881.189297199249,0.042,0.028999999999999998,798.5,212.0,8.565433070866142,75.11921241976225,0.0
5882.213128566742,0.042,0.028999999999999998,798.0,211.25,8.604527559055118,102.0730728428916,0.0
5883.852089166641,0.042,0.028999999999999998,798.0,209.75,8.6305905511811,200.0,0.0
5885.181870222092,0.042,0.028999999999999998,798.25,211.0,8.6305905511811,101.8693738860215,0.0
5886.187235832214,0.042,0.028999999999999998,798.75,212.25,8.669685039370078,80.50680178133004,0.0
5887.2054533958435,0.042,0.028999999999999998,798.25,212.25,8.6305905511811,102.18578197875223,0.0
5888.224150657654,0.042,0.028999999999999998,798.75,212.0,8.6305905511811,123.12058296735235,0.0
5889.249614238739,0.042,0.028999999999999998,799.0,211.0,8.6305905511811,78.36000670938108,0.0
5890.4182159900665,0.042,0.028999999999999998,798.75,210.25,8.61755905511811,129.2770500580726,0.0
5891.96893787384,0.042,0.028999999999999998,799.0,210.25,8.604527559055118,162.3631363142469,0.0
5893.065296411514,0.042,0.028999999999999998,799.0,211.5,8.513307086614171,125.74009306850601,0.0
5894.707335233688,0.042,0.028999999999999998,799.0,210.75,8.61755905511811,0,0.0
5895.719434499741,0.042,0.028999999999999998,798.75,212.25,8.61755905511811,147.27049615956528,0.0
5897.14652299881,0.042,0.028999999999999998,799.0,211.75,8.61755905511811,100.94770402825057,0.0
5898.800251960754,0.042,0.028999999999999998,799.25,210.75,8.61755905511811,200.0,0.0
5900.112794876099,0.042,0.028999999999999998,799.5,210.75,8.656653543307085,77.2705273288694,0.0
5901.125355482101,0.042,0.028999999999999998,800.25,210.25,8.6305905511811,75.5237868516088,0.0
5902.148839473724,0.042,0.028999999999999998,800.25,210.75,8.669685039370078,75.5079634117466,0.0
5903.168379306793,0.042,0.028999999999999998,800.25,211.5,8.656653543307085,97.2847783064331,0.0
5904.343165636063,0.042,0.028999999999999998,800.75,212.25,8.604527559055118,95.71575436060243,0.0
5905.885116815567,0.042,0.028999999999999998,800.5,212.5,8.591496062992125,96.39344588033008,0.0
5906.895102024078,0.042,0.028999999999999998,800.0,211.25,8.6305905511811,119.22412767777271,0.0
5907.920312166214,0.042,0.028999999999999998,800.25,210.25,8.669685039370078,117.96706273488235,0.0
5908.960186481476,0.042,0.028999999999999998,799.75,210.5,8.643622047244094,98.63066778021083,0.0
5910.680423498154,0.042,0.028999999999999998,799.5,211.75,8.591496062992125,200.0,0.0
5911.989221572876,0.042,0.028999999999999998,800.0,212.25,8.643622047244094,97.89253240552736,0.0
5913.00919508934,0.042,0.028999999999999998,800.5,210.25,8.6305905511811,74.51727646774565,0.0
5914.160681247711,0.042,0.028999999999999998,800.0,210.5,8.656653543307085,97.85277691606824,0.0
5915.725539445877,0.042,0.028999999999999998,799.75,212.0,8.604527559055118,200.0,0.0
5916.824376821518,0.042,0.028999999999999998,800.0,212.5,8.61755905511811,41.44458771489334,0.0
5918.461788892746,0.042,0.028999999999999998,799.75,211.25,8.591496062992125,135.543905907837,0.0
5919.467982530594,0.042,0.028999999999999998,800.0,210.5,8.565433070866142,54.259544329576755,0.0
5920.480871915817,0.042,0.028999999999999998,800.25,210.5,8.565433070866142,62.858150851365615,0.0
5921.533311128616,0.042,0.028999999999999998,800.0,212.0,8.591496062992125,151.22109377303025,0.0
5922.558447599411,0.042,0.028999999999999998,800.0,211.75,8.565433070866142,60.91439647801466,0.0
5923.869912385941,0.042,0.028999999999999998,799.0,210.5,8.643622047244094,100.97958754775321,0.0
5924.883746147156,0.042,0.028999999999999998,799.5,210.25,8.734842519685039,119.52672686087507,0.0
5925.908063650131,0.042,0.028999999999999998,799.5,211.0,8.61755905511811,79.14988975575065,0.0
5927.064219713211,0.042,0.028999999999999998,799.75,212.5,8.6305905511811,70.62291690392898,0.0
5928.702647924423,0.042,0.028999999999999998,800.0,212.25,8.6305905511811,158.09594894348936,0.0
5930.134095668793,0.042,0.028999999999999998,800.25,210.75,8.552401574803149,126.41856133087076,0.0
5931.341161727905,0.042,0.028999999999999998,799.75,210.75,8.6305905511811,172.67838402624983,0.0
5932.359783411026,0.042,0.028999999999999998,800.25,212.5,8.591496062992125,10.085353507938265,0.0
5933.377166032791,0.042,0.028999999999999998,799.75,211.0,8.591496062992125,200.0,0.0
5934.437861204147,0.042,0.028999999999999998,800.75,210.25,8.565433070866142,0,0.0
5935.46324300766,0.042,0.028999999999999998,800.25,210.5,8.513307086614171,200.0,0.0
5936.48490524292,0.042,0.028999999999999998,801.0,211.5,8.591496062992125,0,0.0
5937.789222478867,0.042,0.028999999999999998,801.25,211.5,8.68271653543307,71.60197584827681,0.0
5938.809110164642,0.042,0.028999999999999998,801.75,211.5,8.643622047244094,72.24201509582936,0.0
5939.967317342758,0.042,0.028999999999999998,802.0,211.75,8.747874015748032,63.89053404025043,0.0
5940.989154815674,0.042,0.028999999999999998,801.75,212.5,8.6305905511811,91.8730218533859,0.0
5942.015170812607,0.042,0.028999999999999998,801.75,212.5,8.643622047244094,119.94853681397944,0.0
5943.220128297806,0.042,0.028999999999999998,801.0,211.75,8.591496062992125,200.0,0.0
5944.240456342697,0.042,0.028999999999999998,801.25,211.25,8.578464566929133,0,0.0
5945.290573120117,0.042,0.028999999999999998,800.25,211.25,8.591496062992125,192.06255868506918,0.0
5946.7238512039185,0.042,0.028999999999999998,801.0,212.75,8.61755905511811,66.89410728515406,0.0
5948.362814426422,0.042,0.028999999999999998,801.25,211.5,8.578464566929133,145.98146371587833,0.0
5949.674062490463,0.042,0.028999999999999998,801.75,210.5,8.643622047244094,90.81118870546578,0.0
5950.820059299469,0.042,0.028999999999999998,801.25,211.75,8.643622047244094,92.19333612235239,0.0
5952.443789958954,0.042,0.028999999999999998,801.0,212.25,8.604527559055118,193.76387299395637,0.0
5953.483394145966,0.042,0.028999999999999998,800.75,212.25,8.604527559055118,128.94528913470614,0.0
5954.758971691132,0.042,0.028999999999999998,801.5,211.75,8.61755905511811,69.13351980988602,0.0
5956.147390842438,0.042,0.028999999999999998,801.0,210.75,8.604527559055118,166.03298669253996,0.0
