time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
11.75,38.5,39.75,40.5,44.25,45.5
11.8,38.5,39.75,40.5,44.25,45.5
11.850000000000001,38.5,39.75,40.75,44.25,45.5
11.9,38.5,39.75,40.75,44.25,45.5
11.950000000000001,38.5,39.75,40.75,44.25,45.5
12.0,38.5,39.75,40.5,44.25,45.5
12.05,38.5,39.75,40.75,44.25,45.5
12.100000000000001,38.5,39.75,40.75,44.25,45.5
12.15,38.5,40.0,40.75,44.25,45.5
12.200000000000001,38.5,40.0,40.5,44.25,45.5
12.25,38.5,39.75,40.5,44.0,45.5
12.3,38.5,39.75,40.75,44.0,45.5
12.350000000000001,38.5,39.75,40.75,44.0,45.5
12.4,38.5,40.0,40.75,44.0,45.5
12.450000000000001,38.5,39.75,40.75,44.0,45.25
12.5,38.5,39.75,40.75,44.0,45.5
12.55,38.5,40.0,40.75,44.0,45.5
12.600000000000001,38.5,39.75,40.75,44.0,45.5
12.65,38.5,39.75,40.75,44.0,45.5
12.700000000000001,38.5,40.0,40.75,44.0,45.5
12.75,38.5,40.0,40.75,44.0,45.5
12.8,38.5,40.0,40.75,44.0,45.5
12.850000000000001,38.5,40.0,40.75,44.0,45.5
12.9,38.5,40.0,40.75,44.0,45.5
12.950000000000001,38.5,40.0,40.75,44.0,45.5
13.0,38.5,40.0,40.75,43.75,45.25
13.05,38.5,40.0,40.75,43.75,45.25
13.100000000000001,38.5,40.0,40.75,43.75,45.5
13.15,38.5,40.0,40.75,43.75,45.5
13.200000000000001,38.5,40.0,40.75,43.75,45.5
13.25,38.5,40.0,40.75,43.75,45.5
13.3,38.5,40.0,40.75,43.75,45.25
13.350000000000001,38.5,40.0,40.75,43.75,45.25
13.4,38.5,40.0,40.75,43.75,45.25
13.450000000000001,38.5,40.0,40.75,43.5,45.5
13.5,38.5,40.0,40.75,43.75,45.5
13.55,38.5,40.0,40.75,43.75,45.5
13.600000000000001,38.5,40.0,40.75,43.75,45.25
13.65,38.5,40.0,40.75,43.75,45.25
13.700000000000001,38.5,40.25,40.75,43.75,45.25
13.75,38.5,40.25,40.75,43.75,45.5
13.8,38.5,40.25,40.75,43.75,45.5
13.850000000000001,38.5,40.25,40.75,43.75,45.25
13.9,38.5,40.25,40.75,43.5,45.25
13.950000000000001,38.5,40.25,40.75,43.5,45.25
14.0,38.5,40.25,40.75,43.5,45.25
