Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.555212200000824,1602368322146952.0,416918245290621.44,6954526668091979.0,555.4558776855469,1589.8820163106216
1.556207200002973,1584564979184093.2,411581401893604.44,6893032533066725.0,554.6162475585937,1589.4125526666467
1.5572032000054603,1588122570768639.5,412648086559203.5,6905318880996685.0,554.7846435546875,1589.5065003331156
1.5581982000003336,1536919656826636.0,397282240290898.56,6728590136780020.0,552.3193115234375,1588.1468442759542
1.5591942000028212,1556218791847789.0,403077505240529.6,6795173975560450.0,553.2604736328125,1588.661328337048
1.5601892000049702,1609494847944957.2,419053744746775.56,6979148434054854.0,555.7900756835937,1590.0694812532984
1.5611841999998433,1588122570768639.5,412648086559203.5,6905318880996685.0,554.7846435546875,1589.5065003331156
1.5621802000023308,1588122570768639.5,412648086559203.5,6905318880996685.0,554.7846435546875,1589.5065003331156
1.5631752000044798,1545666910521301.8,399909526439728.6,6758764395671741.0,552.7480224609375,1588.3803614263093
1.5641711999996917,1597023926836031.5,415316481772890.9,6936064325720060.0,555.2045959472656,1589.7412634002621
1.5651662000018405,1614839581377101.5,420655045089940.06,6997616373302999.0,556.04013671875,1590.2099141277695
1.5661612000039895,1589902041398737.8,413181585199730.75,6911464741999130.0,554.86875,1589.5534658515853
1.5671571999992011,1641510879420108.0,428642650736000.5,7089800619693457.0,557.2826293945312,1590.9087829226776
1.56815220000135,1977361699437735.2,529188539037077.0,8251478436743027.0,575.3360046386719,1599.601384881435
1.5691482000038377,2054153057252570.5,553572863007348.7,8508871849605524.0,592.2064270019531,1602.0029325082405
1.5701431999987108,1958096619057572.8,526734266376084.25,8164796432834216.0,601.4549926757812,1600.1622208152135
1.5711382000008598,1930036076176610.2,518775919067396.56,8064996215800501.0,603.0814270019531,1599.5888009770379
1.5721342000033474,2063054326789583.8,555795927013536.9,8542335572108737.0,589.0402282714844,1602.0917576551517
1.5731291999982204,1989004507394389.5,535470585722435.1,8274910119338891.0,599.394384765625,1600.785111798694
1.574125200000708,1992207544207611.0,536373395390158.06,8286336622736071.0,599.1568664550781,1600.8488992179437
1.575120200002857,2034010170023243.8,548073458802889.2,8435952927608678.0,595.2991394042969,1601.656355678701
1.576115200005006,2045036381391723.8,549763533232970.6,8483796884117755.0,582.335302734375,1601.4327547468283
