# ********************
# Shot #203781
# B-I line brightness
# Wavelength range (Å): [8194, 8196] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BI (molecules/s)
2.2800010000000004,25412700553443.668,236.69467204031062,3.140470502873104e+17
2.3000010000000004,1742722008846.8596,130.52005729600754,1.18757429605766e+16
2.3200010000000004,841985782697.0609,79.0162041545476,3473572265911245.0
2.340001,707807030934.4896,86.54507288258193,3198251687938811.5
2.360001,-10280346243.04816,87.57373177108023,-47004237941998.72
2.380001,-238886704475.76978,95.6144285338651,-1192534165934918.8
2.400001,294096008441.5514,93.97218837892412,1442925432521945.8
2.420001,94367658173.57654,95.10318466402916,468569110619747.25
2.440001,2175424744.991914,97.43096471004579,11066148258821.117
2.460001,83143801902.97437,109.12417743689551,473703158020657.75
2.480001,312639468666.93207,129.7336679775815,2117638960261118.0
2.500001,31817864001.299374,157.97995254790527,262439026240047.62
2.5200010000000006,141284415658.17966,159.16531539478729,1174081138853757.2
2.540001,-57728122301.33819,167.54166821580054,-504970124136476.56
2.5600010000000006,199315774236.65704,159.9363302451884,1664348294278957.0
2.580001,-126862791016.46558,131.5910002631088,-871597282124311.4
2.600001,613951700639.3785,139.85706659366429,4483054711807973.0
2.6200010000000002,142164763930.26923,135.16435041761366,1003250875101789.9
2.640001,298158035885.6289,112.39292595404852,1749608636134073.0
2.6600010000000003,43620896734.71451,99.36792822315329,226306090334834.22
2.680001,775977949446.238,96.97266783952372,3928747715588256.5
2.7000010000000003,858443488593.1469,96.21344301855476,4312239610029955.0
2.720001,359839219209.0653,92.55582850989762,1738872286488577.2
2.7400010000000004,192549111499.11118,91.2971625072438,917813024429147.5
2.760001,587823269233.7284,95.0138369815473,2916010261663797.0
2.7800010000000004,400890442375.6411,139.765752749621,2925377303923309.0
2.800001,2240352244008.0996,245.34082273840946,2.8697333267550892e+16
2.8200010000000004,4093770404008.492,262.38208450152194,5.608065499838051e+16
2.840001,3984043534602.4253,261.7270318320933,5.444124806406364e+16
2.8600010000000005,3492368200748.11,240.82516112036947,4.39114018637427e+16
2.880001,2916353438703.2554,231.06852864895367,3.51832838583938e+16
