#Procedure: <__main__.ExtruderPIDProcedure>
#Parameters:
#	Experiment Time: 10 min
#	Kd: 0
#	Ki: 0
#	Kp: 2000
#	Temperature Setpoint: 100 C
#Data:
Time (min),Temperature (C),Voltage (V),PID Control (V)
2.67977169752121,570.5,0.0,0
2.6895637194315594,570.25,0.0,0
2.696567722161611,569.75,0.0,0
2.70379554828008,569.25,0.0,0
2.713902791341146,569.0,0.0,0
2.7208504915237426,568.25,0.0,0
2.734029444058736,568.0,0.0,0
2.7441255927085875,567.5,0.0,0
2.7510284503300984,566.75,0.0,0
2.761358634630839,566.5,0.0,0
2.7687920649846394,566.0,0.0,0
2.775756537914276,565.75,0.0,0
2.785856501261393,565.25,0.0,0
2.7930212736129763,564.75,0.0,0
2.8025583306948345,564.25,0.0,0
2.8126057267189024,564.0,0.0,0
2.8183177431424458,563.5,0.0,0
2.8266063292821246,563.25,0.0,0
2.8377809882164002,562.75,0.0,0
2.843474050362905,562.25,0.0,0
2.8569337844848635,562.0,0.0,0
2.8646884679794313,561.25,0.0,0
2.8717067996660868,561.0,0.0,0
2.881521475315094,560.5,0.0,0
2.8872358640034994,560.0,0.0,0
2.8985568126042685,559.5,0.0,0
2.904194486141205,559.25,0.0,0
2.9182934880256655,559.0,0.0,0
2.9239330808321635,558.25,0.0,0
2.932317614555359,558.0,0.0,0
2.9436981121699017,557.5,0.0,0
2.9524672349294026,557.0,0.0,0
2.9605751713116963,556.5,0.0,0
2.966097398598989,556.25,0.0,0
2.9797125180562336,556.0,0.0,0
2.98592267036438,555.5,0.0,0
2.9945625344912212,555.0,0.0,0
3.004255016644796,554.5,0.0,0
3.0137786944707234,554.25,0.0,0
3.0207207361857096,553.75,0.0,0
3.02832807302475,553.25,0.0,0
3.038086148103078,552.75,0.0,0
3.0479328910509746,552.5,0.0,0
3.0536301096280414,552.25,0.0,0
3.0622096339861553,551.75,0.0,0
3.0737499396006265,551.0,0.0,0
3.079173568884532,550.75,0.0,0
3.0902793169021607,550.5,0.0,0
3.0960249304771423,550.0,0.0,0
3.109442722797394,549.75,0.0,0
3.1171478788057962,549.25,0.0,0
3.124162725607554,548.75,0.0,0
3.1368019461631773,548.5,0.0,0
3.1439414620399475,547.75,0.0,0
3.1509365320205687,547.5,0.0,0
3.1640814463297526,547.0,0.0,0
3.1720757921536764,546.75,0.0,0
3.1786325653394063,546.25,0.0,0
3.1891319314638773,545.75,0.0,0
3.194788094361623,545.5,0.0,0
3.2084616978963214,545.0,0.0,0
3.2159432967503867,544.5,0.0,0
3.222909911473592,544.25,0.0,0
3.2358022332191467,543.75,0.0,0
3.2443469127019244,543.5,0.0,0
3.249756475289663,543.0,0.0,0
3.2629445672035216,542.5,0.0,0
3.268346913655599,542.25,0.0,0
3.280165239175161,541.75,0.0,0
3.287705449263255,541.25,0.0,0
3.2949329257011413,541.0,0.0,0
3.304677470525106,540.5,0.0,0
3.314251208305359,540.25,0.0,0
3.321722710132599,539.75,0.0,0
3.328676962852478,539.5,0.0,0
3.3416258414586384,539.0,0.0,0
3.3476114511489867,538.75,0.0,0
3.3556073387463887,538.25,0.0,0
3.3688579042752584,537.75,0.0,0
3.373930795987447,537.5,0.0,0
3.38429008324941,537.0,0.0,0
3.393609555562337,536.5,0.0,0
3.399246108531952,536.5,0.0,0
3.413370096683502,536.0,0.0,0
3.42044415473938,535.25,0.0,0
3.43016197681427,535.25,0.0,0
3.435857427120209,534.75,0.0,0
3.444358432292938,534.5,0.0,0
3.4560254295667012,534.0,0.0,0
3.464519802729289,533.5,0.0,0
3.471165422598521,533.25,0.0,0
3.479721204439799,533.0,0.0,0
3.489766522248586,532.5,0.0,0
3.496473077932994,532.0,0.0,0
3.5089689532915753,531.5,0.0,0
3.5155844847361246,531.5,0.0,0
3.5233050624529523,531.0,0.0,0
3.533144966761271,530.75,0.0,0
3.5429753184318544,530.25,0.0,0
3.5501863678296406,529.75,0.0,0
3.559968149662018,529.5,0.0,0
3.565656363964081,529.0,0.0,0
3.5742025852203367,528.75,0.0,0
3.5871610045433044,528.25,0.0,0
3.594145055611928,528.0,0.0,0
3.602398606141408,527.5,0.0,0
3.612379841009776,527.25,0.0,0
3.618329640229543,527.0,0.0,0
3.629088087876638,526.5,0.0,0
3.63501744667689,526.25,0.0,0
3.646402955055237,525.75,0.0,0
3.6516993920008343,525.5,0.0,0
3.662971512476603,525.25,0.0,0
3.6685673634211224,524.75,0.0,0
3.6799150109291077,524.5,0.0,0
3.6855633815129596,524.0,0.0,0
3.6940578699111937,523.75,0.0,0
3.706659479935964,523.5,0.0,0
3.7135517239570617,523.0,0.0,0
3.7207687377929686,522.75,0.0,0
3.7323959390322368,522.25,0.0,0
3.7391154170036316,521.75,0.0,0
3.7509941458702087,521.5,0.0,0
3.7561738967895506,521.25,0.0,0
3.7683212598164877,521.0,0.0,0
3.77488804658254,520.5,0.0,0
3.782923936843872,520.25,0.0,0
3.792788569132487,519.75,0.0,0
3.7997660557428996,519.5,0.0,0
3.8129981120427447,519.0,0.0,0
3.8210092266400655,518.75,0.0,0
3.826669728755951,518.25,0.0,0
3.838281687100728,518.0,0.0,0
3.843722701072693,517.75,0.0,0
3.85479222536087,517.5,0.0,0
3.860434150695801,517.25,0.0,0
3.8718894998232525,516.75,0.0,0
3.8777563134829203,516.25,0.0,0
3.888815482457479,516.0,0.0,0
3.897804566224416,515.75,0.0,0
3.904760952790578,515.25,0.0,0
3.9127567768096925,515.25,0.0,0
3.922674036026001,514.75,0.0,0
3.9282644748687745,514.5,0.0,0
3.9395656545956927,514.0,0.0,0
3.945773200194041,513.75,0.0,0
3.9535656213760375,513.25,0.0,0
3.96354634364446,513.0,0.0,0
3.970516228675842,512.75,0.0,0
3.980378480752309,512.5,0.0,0
3.9901392738024395,512.25,0.0,0
3.997388764222463,511.75,0.0,0
4.004348007837931,511.5,0.0,0
4.017393096288045,511.25,0.0,0
4.022832266489664,510.75,0.0,0
4.032697407404582,510.5,0.0,0
4.045042447249094,510.0,0.0,0
4.051605129241944,509.75,0.0,0
4.061667076746622,509.5,0.0,0
4.068315947055817,509.0,0.0,0
4.076359645525614,508.75,0.0,0
4.086378812789917,508.25,0.0,0
4.093586496512095,508.0,0.0,0
4.102603765328725,507.75,0.0,0
4.110519723097483,507.5,0.0,0
4.1231767972310385,506.75,0.0,0
4.130039489269256,506.75,0.0,0
4.138357802232107,506.25,0.0,0
4.148234502474467,506.0,0.0,0
4.154130442937215,505.75,0.0,0
4.162468286355336,505.25,0.0,0
4.17227932214737,505.0,0.0,0
4.182074383894602,504.75,0.0,0
