Time (s),TC1 (C),TC2 (C)
16.14,23.0,52.0
16.155,23.0,52.0
16.17,23.0,52.0
16.185,23.0,52.0
16.2,23.0,52.0
16.215,23.0,51.75
16.23,23.0,51.75
16.245,23.0,51.75
16.26,23.0,51.75
16.275,23.0,51.75
16.29,23.0,52.0
16.305,23.0,52.0
16.32,23.0,52.0
16.335,23.0,52.0
16.35,23.0,52.0
16.365,23.0,52.0
16.38,23.0,52.0
16.395,23.0,52.0
16.41,23.0,52.0
16.425,23.0,52.0
16.44,23.0,52.0
16.455,23.0,52.0
16.47,23.0,52.0
16.485,23.0,52.0
16.5,23.0,52.0
16.515,23.0,52.0
16.53,23.0,52.0
16.545,23.0,52.0
16.56,23.0,52.0
16.575,23.0,52.0
16.59,23.0,51.75
16.605,23.0,51.75
16.62,23.0,51.75
16.635,23.0,51.75
16.65,23.0,51.75
16.665,22.75,51.75
16.68,22.75,51.75
16.695,22.75,51.75
16.71,22.75,51.75
16.725,22.75,51.75
16.74,23.0,51.75
16.755,23.0,51.75
16.77,23.0,51.75
16.785,23.0,51.75
16.8,23.0,51.75
16.815,23.0,51.75
16.83,23.0,51.75
16.845,23.0,51.75
16.86,23.0,51.75
16.875,23.0,52.0
16.89,22.75,52.0
16.905,22.75,52.0
16.92,22.75,52.0
16.935,22.75,52.0
16.95,22.75,52.0
16.965,23.0,52.0
16.98,23.0,52.0
16.995,23.0,52.0
17.01,23.0,52.0
17.025,23.0,51.75
17.04,23.0,51.75
17.055,23.0,51.75
17.07,23.0,51.75
17.085,23.0,51.75
17.1,23.0,51.75
17.115,23.0,51.75
17.13,23.0,51.75
17.145,23.0,51.75
17.16,23.0,51.75
17.175,23.0,51.75
17.19,23.0,51.75
17.205,23.0,51.75
17.22,23.0,51.75
17.235,23.0,51.75
17.25,23.0,51.75
17.265,23.0,51.75
17.28,23.0,51.75
17.295,23.0,51.75
17.31,23.0,51.75
17.325,23.0,51.75
17.34,23.0,51.75
17.355,23.0,51.75
17.37,23.0,51.75
